Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Grease,Paramount Pictures,Paramount Pictures,28,"$705,323,692 ","$190,071,103 ",77098600,1978,16,24,No,https://image.tmdb.org/t/p/w500/czVhhAaSBFpakur7U8pOIDV9NUG.jpg
The Avengers,Walt Disney Studios,Walt Disney Studios,29,"$703,334,845 ","$623,357,910 ",76881200,2012,18,24,Yes,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
Jurassic World,Universal Pictures,Universal Pictures,30,"$702,609,382 ","$653,406,625 ",76801900,2015,20,24,No,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg
Black Panther,Walt Disney Studios,Walt Disney Studios,31,"$698,123,039 ","$700,426,566 ",76311500,2018,2,21,Yes,https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
Thunderball,United Artists,Amazon MGM Studios,32,"$684,295,333 ","$63,595,658 ",74800000,1965,4,21,No,https://image.tmdb.org/t/p/w500/kQdyq96yvqrPCkLdaiucsE92neO.jpg
The Dark Knight,Warner Bros. Pictures,Warner Bros. Pictures,33,"$681,216,919 ","$534,987,076 ",74463500,2008,6,21,No,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
The Jungle Book,Walt Disney Studios,Walt Disney Studios,34,"$674,048,285 ","$141,843,612 ",73679900,1967,8,21,Yes,https://image.tmdb.org/t/p/w500/yN1kuupnPTLUprgfvC5WapgrxG4.jpg
Sleeping Beauty,Walt Disney Studios,Walt Disney Studios,35,"$664,864,273 ","$51,600,000 ",72676000,1959,10,21,Yes,https://image.tmdb.org/t/p/w500/dK4OZwFFxnfK7MvqfVqw94mavL7.jpg
Avengers: Infinity War,Walt Disney Studios,Walt Disney Studios,36,"$662,519,555 ","$678,815,482 ",72419700,2018,12,21,Yes,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Ghostbusters,Columbia Pictures,Sony Pictures,37,"$652,072,159 ","$243,578,797 ",71277700,1984,14,21,No,https://image.tmdb.org/t/p/w500/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg
Shrek 2,Dreamworks,Universal Pictures,38,"$649,997,317 ","$441,226,247 ",71050900,2004,16,21,No,https://image.tmdb.org/t/p/w500/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg
Spider-Man,Sony Pictures Releasing,Sony Pictures,39,"$646,112,934 ","$407,022,860 ",70626300,2002,18,21,No,https://image.tmdb.org/t/p/w500/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg
