Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
The Bells of St. Mary's,RKO Radio Pictures,Warner Bros. Pictures,60,"$574,013,090","$21,333,333",62745100,1945,20,15,No,https://image.tmdb.org/t/p/w500/e2REwGOzsD21acHSRcXcXzkQmUi.jpg
The Lord of the Rings: The Return of the King,20th Century Fox,Amazon MGM Studios,61,"$563,900,522","$379,427,292",61639700,2003,2,12,No,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
Spider-Man 2,Sony Pictures Releasing,Sony Pictures,67,"$550,351,840","$373,585,825",60158700,2004,14,12,No,https://image.tmdb.org/t/p/w500/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg
My Fair Lady,Warner Bros. Pictures,Warner Bros. Pictures,68,"$549,469,026","$72,560,711",60062200,1964,16,12,No,https://image.tmdb.org/t/p/w500/bTXVc29lGSNclf94VIZ49W4gGKl.jpg
The Greatest Show on Earth,Paramount Pictures,Paramount Pictures,69,"$548,900,000","$36,000,000",60000000,1952,18,12,No,https://image.tmdb.org/t/p/w500/cKI0yGPRh1IlvRKKJRoMZruior8.jpg
Barbie,Warner Bros. Pictures,Warner Bros. Pictures,70,NA,NA,NA,2023,20,12,No,https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg
National Lampoon's Animal House,Universal Pictures,Universal Pictures,71,"$547,896,428","$141,600,000",59890300,1978,2,9,No,https://image.tmdb.org/t/p/w500/iCo7xLOXFzmf8bwHU4h7IkfkSF9.jpg
The Passion of the Christ,Newmarket Films,Lionsgate,72,"$546,199,412","$370,782,930",59704800,2004,4,9,No,https://image.tmdb.org/t/p/w500/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg
Back to the Future,Universal Pictures,Universal Pictures,74,"$542,087,236","$212,836,762",59255300,1985,8,9,No,https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
The Lord of the Rings: The Two Towers,20th Century Fox,Amazon MGM Studios,75,"$528,091,201","$342,952,511",57725400,2002,10,9,No,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
The Dark Knight Rises,Warner Bros. Pictures,Warner Bros. Pictures,76,"$526,777,500","$448,149,584",57581800,2012,12,9,No,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
Superman,Warner Bros. Pictures,Warner Bros. Pictures,78,"$524,967,960","$134,478,449",57384000,1978,16,9,No,https://image.tmdb.org/t/p/w500/d7px1FQxW4tngdACVRsCSaZq0Xl.jpg
Tootsie,Columbia Pictures,Sony Pictures,79,"$520,575,845","$177,200,000",56903900,1982,18,9,No,https://image.tmdb.org/t/p/w500/x9cBsqf64j8e5a8PwThT3I6sHFK.jpg
Smokey and the Bandit,Universal Pictures,Universal Pictures,81,"$519,926,313","$126,737,428",56832900,1977,2,6,No,https://image.tmdb.org/t/p/w500/pNm0neie5Q6I7AsIsGnqxEVk44f.jpg
Harry Potter and the Sorcerer's Stone,Warner Bros. Pictures,Warner Bros. Pictures,83,"$513,616,708","$318,886,962",56143200,2001,6,6,No,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
West Side Story,United Artists,Amazon MGM Studios,84,"$512,423,765","$44,055,492",56012800,1961,8,6,No,https://image.tmdb.org/t/p/w500/nzCMu6D5q60i2bVrIQ0DxlRSgCZ.jpg
Close Encounters of the Third Kind,Columbia Pictures,Sony Pictures,85,"$511,600,415","$135,189,114",55922800,1977,10,6,No,https://image.tmdb.org/t/p/w500/4zfedS25uMAhgm6YQhc9bhKHbLl.jpg
Lawrence of Arabia,Columbia Pictures,Sony Pictures,87,"$507,156,155","$45,306,425",55437000,1962,14,6,No,https://image.tmdb.org/t/p/w500/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
Rocky,United Artists,Amazon MGM Studios,89,"$503,524,267","$117,235,147",55040000,1976,18,6,No,https://image.tmdb.org/t/p/w500/cqxg1CihGR5ge0i1wYXr4Rdeppu.jpg
The Best Years of Our Lives,RKO Radio Pictures,Warner Bros. Pictures,90,"$503,158,333","$23,650,000",55000000,1946,20,6,No,https://image.tmdb.org/t/p/w500/gd5EoAU4MM57sW3vlWxJ0NMM8cV.jpg
The Lord of the Rings: The Fellowship of the Ring,20th Century Fox,Amazon MGM Studios,93,"$501,323,178","$316,115,420",54799400,2001,6,3,No,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
Twister,Warner Bros. Pictures,Warner Bros. Pictures,94,"$500,304,968","$241,830,615",54688100,1996,8,3,No,https://image.tmdb.org/t/p/w500/6tagtmPVOG4QqraQ4piUFLoqaoj.jpg
Men in Black,Sony Pictures Releasing,Sony Pictures,95,"$499,651,777","$250,690,539",54616700,1997,10,3,No,https://image.tmdb.org/t/p/w500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
The Bridge on the River Kwai,Columbia Pictures,Sony Pictures,96,"$497,669,333","$27,200,000",54400000,1957,12,3,No,https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg
Super Mario Bros. Movie,Universal Pictures,Universal Pictures,97,NA,NA,NA,2023,14,3,No,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
Transformers: Revenge of the Fallen,Paramount Pictures,Paramount Pictures,98,"$493,103,400","$402,111,870",53900900,2009,16,3,No,https://image.tmdb.org/t/p/w500/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg
It's a Mad Mad Mad Mad World,United Artists,Amazon MGM Studios,99,"$492,870,118","$46,332,858",53875400,1963,18,3,No,https://image.tmdb.org/t/p/w500/j4mWzOisSHFkaqIkq34l2mm8a5K.jpg
